Census Tract,County,Number of Families,Number of Families in Poverty,Percentage of Families in Poverty
108.01,Muscogee,430.00,31.00,7.2
1105.07,Walton,2105.00,153.00,7.3
202,DeKalb,413.00,30.00,7.3
1106.01,Walton,1329.00,99.00,7.5
1602,Spalding,1819.00,137.00,7.5
116.14,Fulton,4109.00,314.00,7.6
1305.04,Forsyth,955.00,73.00,7.6
116.21,Fulton,1989.00,154.00,7.7
13.02,Hall,1362.00,105.00,7.7
110.03,Chatham,1563.00,122.00,7.8
1302.04,Forsyth,1368.00,106.00,7.8
14.02,Hall,1489.00,116.00,7.8
1402.08,Fayette,2013.00,156.00,7.8
17,Clarke,461.00,36.00,7.8
123,Fulton,534.00,42.00,7.9
1304.08,Forsyth,841.00,66.00,7.9
136.05,Bibb,1203.00,95.00,7.9
234.26,DeKalb,1038.00,83.00,8.0
1304.10,Forsyth,990.00,80.00,8.1
16,Fulton,370.00,30.00,8.1
218.12,DeKalb,517.00,42.00,8.1
108,Richmond,1041.00,85.00,8.2
116.10,Fulton,1544.00,127.00,8.2
116.11,Fulton,1759.00,145.00,8.2
1403.06,Fayette,2165.00,178.00,8.2
1705.01,Coweta,1935.00,159.00,8.2
1306.08,Forsyth,1562.00,130.00,8.3
22,Clarke,337.00,28.00,8.3
110,Dougherty,701.00,59.00,8.4
16.05,Hall,1442.00,121.00,8.4
206.02,Walker,1168.00,98.00,8.4
1302.05,Forsyth,781.00,66.00,8.5
1303.01,Forsyth,1397.00,119.00,8.5
1803.02,Barrow,1397.00,119.00,8.5
1805.01,Barrow,1384.00,117.00,8.5
215.02,DeKalb,793.00,67.00,8.5
11,Muscogee,678.00,58.00,8.6
1105.05,Walton,1234.00,106.00,8.6
116.13,Fulton,1740.00,150.00,8.6
1206.04,Paulding,1356.00,117.00,8.6
136.03,Bibb,804.00,69.00,8.6
1203.03,Paulding,520.00,45.00,8.7
109.06,Richmond,1659.00,146.00,8.8
114.26,Fulton,594.00,52.00,8.8
116,Lowndes,1031.00,91.00,8.8
1202.03,Paulding,1290.00,114.00,8.8
135.04,Bibb,2262.00,198.00,8.8
224.01,DeKalb,796.00,70.00,8.8
109,Dougherty,415.00,37.00,8.9
202,Houston,1319.00,346.00,9.0
